topology,backend,op,group_size,payload_scope,payload_bytes,input_payload_bytes_per_rank,repeats,pooled_samples,median_latency_us,mean_latency_us,p95_latency_us,p99_latency_us,min_latency_us,max_latency_us,latency_cv,repeat_median_cv,intrinsic_min_median_latency_us,intrinsic_min_mean_latency_us,intrinsic_min_p95_latency_us,intrinsic_min_p99_latency_us,intrinsic_min_latency_cv,intrinsic_min_repeat_median_cv,ring_equivalent_factor,ring_equivalent_bytes,algorithmic_bandwidth_GBps,ring_equivalent_bus_bandwidth_GBps,intrinsic_min_algorithmic_bandwidth_GBps,intrinsic_min_ring_equivalent_bus_bandwidth_GBps
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,1048576,262144,5,500,44.44799944758415,45.70963190495968,53.82560007274151,64.46175873279567,39.39199820160866,100.99200159311295,0.11323499386813166,0.013029688727984474,35.88800132274628,37.012287989258766,43.82719844579695,47.528640478849404,0.08414614909152256,0.012077092879480071,0.75,786432.0,23.59107300738127,17.69330475553595,29.21801051471203,21.913507886034022
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,2097152,524288,5,500,43.64800080657005,80.93363342434168,51.78559944033622,72.32831932604311,39.45599868893623,8996.288299560547,6.92975959931049,0.02236269594094558,36.41600161790848,37.4851840287447,43.99999976158142,48.41695986688137,0.07943966375172364,0.01139048938206187,0.75,1572864.0,48.0469199332568,36.035189949942605,57.58874963825444,43.19156222869083
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,4194304,1048576,5,500,44.176001101732254,83.73926299065351,53.727999329566956,98.96512039005749,40.352001786231995,9546.175956726074,7.108788795208822,0.018205031298760593,41.471999138593674,42.51641594618559,49.12160150706768,52.1942388266325,0.13759637989803405,0.02203211256017832,0.75,3145728.0,94.94530730251024,71.20898047688269,101.13580456980665,75.851853427355
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,8388608,2097152,5,500,57.96799995005131,94.47359935194254,60.99199876189232,110.28703778982161,54.368000477552414,9166.111946105957,5.988844937432914,0.006430014086920538,54.816000163555145,55.783807680010796,58.6559996008873,75.00991746783257,0.05621051197265906,0.009590095319068116,0.75,6291456.0,144.71101309736625,108.53325982302468,153.03210695729004,114.77408021796754
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,16777216,4194304,5,500,64.92800265550613,132.1128317937255,67.1359971165657,134.02912199496984,60.95999851822853,10113.471984863281,5.726376109633336,0.0052135223313605865,62.752000987529755,63.18803299218416,64.86400216817856,82.83327735960482,0.23892821597099467,0.006910936587417293,0.75,12582912.0,258.39722945146275,193.79792208859706,267.3574664708144,200.5180998531108
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,33554432,8388608,5,500,77.13599875569344,113.84192015230656,77.504001557827,130.027199983596,74.23999905586243,8655.167579650879,4.701321560608188,0.004411892593854155,75.1039981842041,76.24531051516533,75.29599964618683,95.87551988661289,0.227607018782429,0.00026947608144575215,0.75,25165824.0,435.00353325655664,326.25264994241746,446.7729123781479,335.07968428361096
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,67108864,16777216,5,500,116.22399836778641,131.47871878743172,118.17759834229946,146.50239691138256,113.34399878978729,3868.3199882507324,1.7969923978940239,0.0003854336588580081,114.04799669981003,114.14982259273529,115.00799655914307,129.19679284095764,0.019595265022739488,0.00027490819546048024,0.75,50331648.0,577.4096997389177,433.05727480418824,588.4265041203638,441.3198780902728
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,134217728,33554432,5,500,207.32800662517548,221.212992310524,210.4319930076599,214.70976248383514,204.0960043668747,6742.591857910156,1.3204200248902918,0.003009941387266775,204.25599813461304,204.4039691388607,206.36799931526184,208.42080667614928,0.013136964283638216,0.00029479095933179284,0.75,100663296.0,647.369017745151,485.5267633088633,657.105442316289,492.8290817372167
single-node-nvlink,nccl,all_gather,8,logical-gathered-output,1024,128,5,500,48.656001687049866,59.45887991786003,78.43680083751676,309.0988850593565,39.39199820160866,773.7600207328796,0.8982285126850001,0.1829548023671789,38.736000657081604,44.0699520111084,61.47359870374203,86.13920003175733,0.295229273129735,0.2045817645085104,0.875,896.0,0.021045707918752904,0.01841499442890879,0.02643535684195098,0.02313093723670711
single-node-nvlink,nccl,all_gather,8,logical-gathered-output,2048,256,5,500,46.73600010573864,66.20723186433315,77.33919955790034,147.42527931928566,38.36800158023834,1724.4479656219482,2.167243053798649,0.20027654476441553,37.967998534440994,42.96262404322624,60.89920159429312,76.94720290601231,0.29410509634184506,0.21541895899188376,0.875,1792.0,0.04382060928120653,0.03834303312105571,0.05394016221693243,0.047197641939815876
