parallelism,parallel_size,profile_id,policy,phase,requests,calls_predicted,calls_truth,calls_abs_error,calls_ape,bytes_predicted,bytes_truth,bytes_abs_error,bytes_ape,calls_histogram_l1,calls_histogram_tv,bytes_histogram_l1,bytes_histogram_tv,log_payload_emd_log2_bytes,normalized_log_payload_emd,common_reference_cost_predicted_us,common_reference_cost_truth_us,common_reference_cost_ape,exact_histogram,comparison
pp,4,profile_02_burstgpt_1_c1,mb16,prefill,2433,138.92314015618578,823.6744759556104,684.7513357994246,0.8313373253493014,3045107478.832717,3045107478.832717,0.0,0.0,1.998003992015968,0.999001996007984,1.993179918353627,0.9965899591768135,3.4195768177839736,0.16283699132304635,31145.6904891081,34569.447168105224,0.09903996041209423,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_02_burstgpt_1_c1,mb4,decode,2433,10983.148376489931,5424.578709412249,5558.569667077682,1.0247007122291256,159435916.15289766,159435916.15289766,0.0,0.0,1.4258006695509757,0.7129003347754879,0.8079067410035479,0.40395337050177393,1.2858227279575594,0.06122965371226473,56510.10104397863,28717.252708590222,0.9678101389926728,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_02_burstgpt_1_c1,mb4,prefill,2433,501.4385532264694,1718.8655980271271,1217.4270448006578,0.7082735533237685,3045107478.832717,3045107478.832717,0.0,0.0,1.9818268770923002,0.9909134385461501,1.9635731566540024,0.9817865783270012,2.1017355002090357,0.10008264286709694,32958.26755445952,39045.402778462805,0.1558988969467338,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_02_burstgpt_1_c1,mb1,decode,2433,19462.392108508015,19462.392108508015,0.0,0.0,159435916.15289766,159435916.15289766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98906.31970406906,98906.31970406906,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_02_burstgpt_1_c1,mb1,prefill,2433,2000.0,2000.0,0.0,0.0,3045107478.832717,3045107478.832717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40451.07478832717,40451.07478832717,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_02_burstgpt_1_c1,mb16,decode,2433,9066.173448417592,1637.4845869297164,7428.688861487875,4.536646586345381,159435916.15289766,159435916.15289766,0.0,0.0,1.7253314645835132,0.8626657322917566,1.215408008109478,0.607704004054739,3.0756809282911037,0.14646099658529066,46925.226403616936,9781.78209617756,3.797206270006155,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_02_burstgpt_1_c1,mb16,prefill,2433,138.92314015618578,723.3867653103165,584.4636251541307,0.8079545454545454,3045107478.832717,3045107478.832717,0.0,0.0,1.9977272727272728,0.9988636363636364,1.993179918353627,0.9965899591768135,3.232650466704676,0.15393573650974646,31145.6904891081,34068.00861487875,0.0857789534693956,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_02_burstgpt_1_c1,mb4,decode,2433,10983.148376489931,5598.849157418825,5384.299219071107,0.9616796358831303,159435916.15289766,159435916.15289766,0.0,0.0,1.379469966579002,0.689734983289501,0.7944754181449569,0.39723770907247846,1.219028176553114,0.05804896078824352,56510.10104397863,29588.604948623102,0.9098602702662505,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_02_burstgpt_1_c1,mb4,prefill,2433,501.4385532264694,1616.9338265515826,1115.4952733251132,0.6898830706659889,3045107478.832717,3045107478.832717,0.0,0.0,1.951194712760549,0.9755973563802744,1.9253860068908477,0.9626930034454239,2.032184903178667,0.09677070967517462,32958.26755445952,38535.743921085086,0.14473514195151724,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_03_burstgpt_1_c2,mb1,decode,312,119608.97435897436,119608.97435897436,0.0,0.0,979836717.948718,979836717.948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607843.238974359,607843.238974359,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_03_burstgpt_1_c2,mb1,prefill,312,2000.0,2000.0,0.0,0.0,7441381743.589744,7441381743.589744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84413.81743589744,84413.81743589744,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
