candidate_id,oof_scheme,slice_type,slice_value,points,wape,signed_bias
r65_frozen,topology,overall,all,480,0.044652523475487246,-0.02953857945674997
r65_frozen,source_blocked,configuration,P1D4,120,0.04341551902348758,-0.026349758347542745
r65_frozen,source_blocked,configuration,P2D2_ALL_TO_ALL,120,0.04730838520517917,-0.03524310966182833
r65_frozen,source_blocked,configuration,P2D2_MATCHING,120,0.03796425869381352,-0.024339426144358547
r65_frozen,source_blocked,configuration,P4D1,120,0.04686868502677993,-0.03095669984580311
r65_frozen,source_blocked,configuration_topology,P1D4/L1,40,0.044229700935214986,-0.021250580164324274
r65_frozen,source_blocked,configuration_topology,P1D4/L2,40,0.04346275892103533,-0.030868976173743682
r65_frozen,source_blocked,configuration_topology,P1D4/L3,40,0.04255228746167146,-0.026945395933438955
r65_frozen,source_blocked,configuration_topology,P2D2_ALL_TO_ALL/L1,40,0.04367366872791981,-0.02773210182645288
r65_frozen,source_blocked,configuration_topology,P2D2_ALL_TO_ALL/L2,40,0.05741144456817678,-0.05164091166294893
r65_frozen,source_blocked,configuration_topology,P2D2_ALL_TO_ALL/L3,40,0.04064732131115909,-0.02605822008642719
r65_frozen,source_blocked,configuration_topology,P2D2_MATCHING/L1,40,0.03553685063036292,-0.015315594376484193
r65_frozen,source_blocked,configuration_topology,P2D2_MATCHING/L2,40,0.03903219700969998,-0.028034888206066314
r65_frozen,source_blocked,configuration_topology,P2D2_MATCHING/L3,40,0.039306315804897136,-0.029601649696576523
r65_frozen,source_blocked,configuration_topology,P4D1/L1,40,0.049032574986662344,-0.03240380742715564
r65_frozen,source_blocked,configuration_topology,P4D1/L2,40,0.046206860312095845,-0.03223303610080953
r65_frozen,source_blocked,configuration_topology,P4D1/L3,40,0.04533014232333779,-0.02821277364075704
r65_frozen,source_blocked,model,deepseek-v2-lite,240,0.039045754254099216,-0.027095952267923645
r65_frozen,source_blocked,model,qwen3-8b,240,0.09322573510402561,-0.05069982984670335
r65_frozen,source_blocked,overall,all,480,0.044652523475487246,-0.02953857945674997
r65_frozen,tail32,configuration,P1D4,24,0.05442891054303592,-0.05442891054303578
r65_frozen,tail32,configuration,P2D2_ALL_TO_ALL,24,0.07429661525367139,-0.07092880628103417
r65_frozen,tail32,configuration,P2D2_MATCHING,18,0.05916870622230533,-0.05916870622230538
r65_frozen,tail32,configuration,P4D1,24,0.0630493421835874,-0.0630493421835875
r65_frozen,tail32,configuration_topology,P1D4/L1,8,0.05427883924361334,-0.054278839243613264
r65_frozen,tail32,configuration_topology,P1D4/L2,8,0.05467198800587886,-0.05467198800587888
r65_frozen,tail32,configuration_topology,P1D4/L3,8,0.05433610784095947,-0.0543361078409595
r65_frozen,tail32,configuration_topology,P2D2_ALL_TO_ALL/L1,8,0.0648625703080059,-0.06093649906820514
r65_frozen,tail32,configuration_topology,P2D2_ALL_TO_ALL/L2,8,0.09471246825931925,-0.09256415359697265
r65_frozen,tail32,configuration_topology,P2D2_ALL_TO_ALL/L3,8,0.06257973487703895,-0.05850676787570875
r65_frozen,tail32,configuration_topology,P2D2_MATCHING/L1,6,0.04992642605313304,-0.04992642605313315
r65_frozen,tail32,configuration_topology,P2D2_MATCHING/L2,6,0.06080496498101709,-0.06080496498101709
r65_frozen,tail32,configuration_topology,P2D2_MATCHING/L3,6,0.0666079634773836,-0.06660796347738361
r65_frozen,tail32,configuration_topology,P4D1/L1,8,0.06722813956302373,-0.0672281395630237
r65_frozen,tail32,configuration_topology,P4D1/L2,8,0.06078479053897878,-0.060784790538978846
r65_frozen,tail32,configuration_topology,P4D1/L3,8,0.06108999034683856,-0.06108999034683855
r65_frozen,tail32,model,deepseek-v2-lite,45,0.05439702170878309,-0.0543970217087831
r65_frozen,tail32,model,qwen3-8b,45,0.14858457385340626,-0.13939044364007688
r65_frozen,tail32,overall,all,90,0.06235724034687268,-0.06158020256407958
model_configuration_affine_graph,payload_cohort,configuration,P1D4,120,0.04203503356917693,-0.0037868682222925794
model_configuration_affine_graph,payload_cohort,configuration,P2D2_ALL_TO_ALL,120,0.039910644806643046,-0.002745178335206092
model_configuration_affine_graph,payload_cohort,configuration,P2D2_MATCHING,120,0.030970360298386717,-0.002077072100049797
model_configuration_affine_graph,payload_cohort,configuration,P4D1,120,0.036569577035994436,-0.0033746162960542857
model_configuration_affine_graph,payload_cohort,configuration_topology,P1D4/L1,40,0.04346437116299843,0.002558663931870889
model_configuration_affine_graph,payload_cohort,configuration_topology,P1D4/L2,40,0.04198928755791755,-0.00985552186632213
model_configuration_affine_graph,payload_cohort,configuration_topology,P1D4/L3,40,0.04064814881627482,-0.004083657039297638
model_configuration_affine_graph,payload_cohort,configuration_topology,P2D2_ALL_TO_ALL/L1,40,0.039445399442346894,0.00588642642707446
model_configuration_affine_graph,payload_cohort,configuration_topology,P2D2_ALL_TO_ALL/L2,40,0.04395659593385353,-0.020501294750623955
model_configuration_affine_graph,payload_cohort,configuration_topology,P2D2_ALL_TO_ALL/L3,40,0.036243726950448196,0.006697575100137603
model_configuration_affine_graph,payload_cohort,configuration_topology,P2D2_MATCHING/L1,40,0.030424536023916628,0.008012825128430151
model_configuration_affine_graph,payload_cohort,configuration_topology,P2D2_MATCHING/L2,40,0.031322158165528094,-0.0066053048854081645
model_configuration_affine_graph,payload_cohort,configuration_topology,P2D2_MATCHING/L3,40,0.031161046804048152,-0.0075668178498189435
model_configuration_affine_graph,payload_cohort,configuration_topology,P4D1/L1,40,0.03694951023524641,-0.005159243905155694
model_configuration_affine_graph,payload_cohort,configuration_topology,P4D1/L2,40,0.03535802035501429,-0.005063597803767468
model_configuration_affine_graph,payload_cohort,configuration_topology,P4D1/L3,40,0.03739230298678428,0.00012399082816739272
model_configuration_affine_graph,payload_cohort,model,deepseek-v2-lite,240,0.03451286217991966,-0.0028502792244764837
model_configuration_affine_graph,payload_cohort,model,qwen3-8b,240,0.07138374789912527,-0.006150028392616752
model_configuration_affine_graph,payload_cohort,overall,all,480,0.03832841441845535,-0.003191750959681983
model_configuration_affine_graph,topology,configuration,P1D4,120,0.034836019065856524,0.0005353888036129659
model_configuration_affine_graph,topology,configuration,P2D2_ALL_TO_ALL,120,0.03523792957261416,-0.0001083237486899846
model_configuration_affine_graph,topology,configuration,P2D2_MATCHING,120,0.02828145927175523,-8.475355985061977e-05
model_configuration_affine_graph,topology,configuration,P4D1,120,0.03032732067713622,7.408929326830478e-05
model_configuration_affine_graph,topology,configuration_topology,P1D4/L1,40,0.036431902292456575,0.011246080592486274
model_configuration_affine_graph,topology,configuration_topology,P1D4/L2,40,0.03531424193863374,-0.00923146651106851
model_configuration_affine_graph,topology,configuration_topology,P1D4/L3,40,0.03275871346641293,-0.0004416247321735005
model_configuration_affine_graph,topology,configuration_topology,P2D2_ALL_TO_ALL/L1,40,0.034764057514671216,0.012716594774833858
model_configuration_affine_graph,topology,configuration_topology,P2D2_ALL_TO_ALL/L2,40,0.03999827512941459,-0.02671052275009301
model_configuration_affine_graph,topology,configuration_topology,P2D2_ALL_TO_ALL/L3,40,0.030849350856345954,0.014146721812536817
model_configuration_affine_graph,topology,configuration_topology,P2D2_MATCHING/L1,40,0.030865869376526155,0.014984148264221293
model_configuration_affine_graph,topology,configuration_topology,P2D2_MATCHING/L2,40,0.027218962969440052,-0.006866330306473006
model_configuration_affine_graph,topology,configuration_topology,P2D2_MATCHING/L3,40,0.02677846837040028,-0.00826476763971851
model_configuration_affine_graph,topology,configuration_topology,P4D1/L1,40,0.03018152467735934,-0.002426165322804246
model_configuration_affine_graph,topology,configuration_topology,P4D1/L2,40,0.029773768064154275,-0.002772514273416797
model_configuration_affine_graph,topology,configuration_topology,P4D1/L3,40,0.03102776573771082,0.005454876361254159
model_configuration_affine_graph,topology,model,deepseek-v2-lite,240,0.0286493353658395,0.0002941705106625883
model_configuration_affine_graph,topology,model,qwen3-8b,240,0.06690284743677874,-0.0009954541234648926
model_configuration_affine_graph,topology,overall,all,480,0.03260796751603209,0.00016071480262543433
model_configuration_affine_graph,source_blocked,configuration,P1D4,120,0.06431886975309091,-0.04515628059111332
model_configuration_affine_graph,source_blocked,configuration,P2D2_ALL_TO_ALL,120,0.05872045995020612,-0.041374377119663346
model_configuration_affine_graph,source_blocked,configuration,P2D2_MATCHING,120,0.04974136559579947,-0.026763935813885746
model_configuration_affine_graph,source_blocked,configuration,P4D1,120,0.05981116251912952,-0.041789853133514854
model_configuration_affine_graph,source_blocked,configuration_topology,P1D4/L1,40,0.06336992061719152,-0.039652239523382066
model_configuration_affine_graph,source_blocked,configuration_topology,P1D4/L2,40,0.06618999016619986,-0.05066815487406614
model_configuration_affine_graph,source_blocked,configuration_topology,P1D4/L3,40,0.0634005450586481,-0.04516594101799206
model_configuration_affine_graph,source_blocked,configuration_topology,P2D2_ALL_TO_ALL/L1,40,0.0552434575241228,-0.03309947967328889
model_configuration_affine_graph,source_blocked,configuration_topology,P2D2_ALL_TO_ALL/L2,40,0.06730907096640915,-0.05840988581175804
model_configuration_affine_graph,source_blocked,configuration_topology,P2D2_ALL_TO_ALL/L3,40,0.05344855047355247,-0.03230838107179548
model_configuration_affine_graph,source_blocked,configuration_topology,P2D2_MATCHING/L1,40,0.04735892144099829,-0.017203806206029612
model_configuration_affine_graph,source_blocked,configuration_topology,P2D2_MATCHING/L2,40,0.05107696742566079,-0.030966520735520843
model_configuration_affine_graph,source_blocked,configuration_topology,P2D2_MATCHING/L3,40,0.050772599258003676,-0.03205288489303195
