profile_id,source,sample_label,sample_requests,pp_size,microbatch,prefill_proxy_calls_per_1000,decode_proxy_calls_per_1000,total_logical_bytes_per_1000
profile_04_burstgpt_1_c3,burstgpt,hfull,92,4,1,2000.0,123043.47826086957,6210604521.739131
profile_04_burstgpt_1_c3,burstgpt,hfull,92,4,4,1565.217391304348,36413.04347826087,6210604521.739131
profile_04_burstgpt_1_c3,burstgpt,hfull,92,4,16,565.2173913043479,11869.565217391304,6210604521.739131
profile_04_burstgpt_1_c3,burstgpt,hfull,92,8,1,2000.0,123043.47826086957,6210604521.739131
profile_04_burstgpt_1_c3,burstgpt,hfull,92,8,4,1326.0869565217392,38847.82608695652,6210604521.739131
profile_04_burstgpt_1_c3,burstgpt,hfull,92,8,16,217.3913043478261,19760.869565217392,6210604521.739131
profile_04_burstgpt_1_c3,burstgpt,compact32,32,2,1,2000.0,126750.0,6064640000.0
profile_04_burstgpt_1_c3,burstgpt,compact32,32,2,4,1062.5,33625.0,6064640000.0
profile_04_burstgpt_1_c3,burstgpt,compact32,32,2,16,250.0,14875.0,6064640000.0
profile_04_burstgpt_1_c3,burstgpt,compact32,32,4,1,2000.0,126750.0,6064640000.0
profile_04_burstgpt_1_c3,burstgpt,compact32,32,4,4,1062.5,37875.0,6064640000.0
profile_04_burstgpt_1_c3,burstgpt,compact32,32,4,16,187.5,22312.5,6064640000.0
profile_04_burstgpt_1_c3,burstgpt,compact32,32,8,1,2000.0,126750.0,6064640000.0
profile_04_burstgpt_1_c3,burstgpt,compact32,32,8,4,500.0,59500.0,6064640000.0
profile_04_burstgpt_1_c3,burstgpt,compact32,32,8,16,187.5,22312.5,6064640000.0
profile_05_burstgpt_1_c4,burstgpt,h32,32,2,1,2000.0,106687.5,13255168000.0
profile_05_burstgpt_1_c4,burstgpt,h32,32,2,4,1625.0,31937.5,13255168000.0
profile_05_burstgpt_1_c4,burstgpt,h32,32,2,16,437.5,15875.0,13255168000.0
profile_05_burstgpt_1_c4,burstgpt,h32,32,4,1,2000.0,106687.5,13255168000.0
profile_05_burstgpt_1_c4,burstgpt,h32,32,4,4,1250.0,33937.5,13255168000.0
profile_05_burstgpt_1_c4,burstgpt,h32,32,4,16,437.5,29500.0,13255168000.0
profile_05_burstgpt_1_c4,burstgpt,h32,32,8,1,2000.0,106687.5,13255168000.0
profile_05_burstgpt_1_c4,burstgpt,h32,32,8,4,562.5,56750.0,13255168000.0
profile_05_burstgpt_1_c4,burstgpt,h32,32,8,16,437.5,49375.0,13255168000.0
profile_05_burstgpt_1_c4,burstgpt,h64,64,2,1,2000.0,95406.25,12999424000.0
profile_05_burstgpt_1_c4,burstgpt,h64,64,2,4,1812.5,25281.25,12999424000.0
profile_05_burstgpt_1_c4,burstgpt,h64,64,2,16,1031.25,9218.75,12999424000.0
profile_05_burstgpt_1_c4,burstgpt,h64,64,4,1,2000.0,95406.25,12999424000.0
profile_05_burstgpt_1_c4,burstgpt,h64,64,4,4,1531.25,29093.75,12999424000.0
profile_05_burstgpt_1_c4,burstgpt,h64,64,4,16,406.25,15406.25,12999424000.0
