topology,backend,op,algorithm,group_size,repeat_id,payload_scope,payload_bytes,intrinsic_median_latency_us,intrinsic_p95_latency_us,completion_median_latency_us,completion_p95_latency_us,rank_skew_median_us,rank_skew_p95_us,ring_equivalent_factor,ring_equivalent_bus_bandwidth_GBps
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,3,representative-rank-logical-input,65536,4.3840000000000146,5.571200000000043,19.712000000000444,32.96154999999925,14.847500000000764,28.036750000000108,1.5,22.423357664233507
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,4,representative-rank-logical-input,65536,6.239999999999782,6.43360000000066,20.655499999999847,28.703999999999446,14.73549999999932,23.718400000000198,1.5,15.753846153846704
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,0,representative-rank-logical-input,131072,6.367999999998574,7.2960000000002765,30.57549999999992,46.63834999999998,24.127500000000055,40.36634999999914,1.5,30.874371859303395
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,1,representative-rank-logical-input,131072,6.3520000000003165,7.363200000000506,18.191500000000474,31.49119999999982,11.760000000001128,25.28159999999889,1.5,30.95214105793297
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,2,representative-rank-logical-input,131072,6.511500000001433,7.212800000000697,30.799999999999272,39.5551999999986,24.335500000001048,33.10080000000034,1.5,30.193964524296508
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,3,representative-rank-logical-input,131072,6.5599999999997465,7.553549999999632,20.01550000000043,33.064650000000334,13.440499999999702,26.059800000001257,1.5,29.97073170731823
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,4,representative-rank-logical-input,131072,6.367999999998574,7.489600000000245,21.503999999999905,31.062350000001558,14.831500000000688,24.85435000000102,1.5,30.874371859303395
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,0,representative-rank-logical-input,262144,6.4320000000006985,7.364800000000559,29.280000000000427,48.739199999999734,22.51200000000017,42.53919999999937,1.5,61.13432835820232
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,1,representative-rank-logical-input,262144,6.463999999999942,7.967049999999676,18.399999999999636,31.42394999999968,11.840500000001157,24.899100000000313,1.5,60.83168316831738
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,2,representative-rank-logical-input,262144,6.480499999999665,7.9359999999997175,29.920000000000073,44.676750000000446,23.423999999999978,38.10294999999969,1.5,60.67679962966134
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,3,representative-rank-logical-input,262144,6.591499999999883,8.001600000000053,19.5679999999993,29.75034999999991,12.271999999999935,22.830349999999815,1.5,59.65501024046227
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,4,representative-rank-logical-input,262144,6.480000000000018,8.097599999999556,20.767499999999927,29.69600000000049,14.11199999999917,23.232000000000546,1.5,60.681481481481306
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,0,representative-rank-logical-input,524288,7.792000000000371,9.186250000000836,20.655499999999847,35.62074999999995,12.751500000000306,27.691800000001695,1.5,100.928131416833
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,1,representative-rank-logical-input,524288,8.064000000000306,9.441600000000516,20.640000000000327,32.12959999999784,11.999999999998181,24.4576000000003,1.5,97.52380952380582
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,2,representative-rank-logical-input,524288,7.952500000000327,9.252800000003072,30.192000000000462,43.569599999999625,22.288500000000568,35.87839999999942,1.5,98.89116629990161
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,3,representative-rank-logical-input,524288,7.903500000000349,9.345600000000058,20.191999999999553,31.540750000000113,12.04800000000023,23.910349999999102,1.5,99.504270260007
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,4,4,representative-rank-logical-input,524288,8.128000000000156,9.279050000000462,21.839500000000044,32.043850000000816,14.015499999999975,24.00065000000153,1.5,96.75590551180916
