pp_size,max_microbatch,profile_id,source,segment,rps,interarrival_cv,repeat,phase,histogram_changed,profiled_boundary_calls,draining_boundary_calls,calls_delta_fraction,profiled_boundary_bytes,draining_boundary_bytes,bytes_delta_fraction,calls_distribution_tvd,profiled_pipeline_calls,draining_pipeline_calls,profiled_pipeline_bytes,draining_pipeline_bytes
4,1,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,1,prefill,0,100,100,0.0,2398896128,2398896128,0.0,0.0,300,300,7196688384,7196688384
4,1,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,1,decode,1,3500,3492,0.002290950744558992,37273600,37273600,0.0,0.08943806251022743,10500,10476,111820800,111820800
4,1,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,2,prefill,0,100,100,0.0,2398896128,2398896128,0.0,0.0,300,300,7196688384,7196688384
4,1,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,2,decode,1,3500,3302,0.05996365838885524,37273600,37273600,0.0,0.06189080211127453,10500,9906,111820800,111820800
4,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,prefill,1,28,32,-0.125,94420992,94420992,0.0,0.8660714285714286,84,96,283262976,283262976
4,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,decode,1,560,556,0.007194244604316547,5799936,5799936,0.0,0.00418807810894143,1680,1668,17399808,17399808
4,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,prefill,1,26,32,-0.1875,94420992,94420992,0.0,0.9230769230769231,78,96,283262976,283262976
4,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,decode,1,438,558,-0.21505376344086022,5799936,5799936,0.0,0.3633819413757549,1314,1674,17399808,17399808
4,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,prefill,1,28,32,-0.125,94420992,94420992,0.0,1.0,84,96,283262976,283262976
4,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,decode,1,388,558,-0.3046594982078853,5799936,5799936,0.0,0.49713631156930127,1164,1674,17399808,17399808
4,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,0,prefill,1,64,42,0.5238095238095238,62160896,62160896,0.0,0.42113095238095233,192,126,186482688,186482688
