model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,r61_graph_prediction_us,phase65_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,r61_graph_absolute_error_us,phase65_absolute_error_us,phase65_signed_error_us,cross_replica_relative_spread
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__blind_v09,6|6|6|32,4,99532800,352.5455|352.5455|352.5455|1550.285,1550.285,2607.9215,2607.9215000000004,2303.086421048668,1961.816862220682,1531.086,2079.212,528.9269999999999,223.87442104866795,117.39513777931802,-117.39513777931802,0.00880670176970898
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__blind_v00,3|3|3|3,4,23887872,200.29|200.29|200.29|200.29,200.29000000000002,801.1600000000001,801.1600000000001,596.5475434577778,545.9633559799618,182.10000000000002,532.832,332.542,63.71554345777781,13.131355979961768,13.131355979961768,0.012271222449102155
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__blind_v01,6|6|6|6,4,47775744,354.847|354.847|354.847|354.847,354.847,1419.388,1419.388,1141.636554414099,1058.7961103146954,326.391,1031.02,676.173,110.61655441409903,27.776110314695416,27.776110314695416,0.01713545809004678
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__blind_v02,12|12|12|12,4,95551488,662.174|662.174|662.174|662.174,662.174,2648.696,2648.696,2225.5122149805784,2078.5322069743793,639.539,2043.56,1381.386,181.95221498057845,34.97220697437933,34.97220697437933,0.0007022059543149922
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__blind_v03,24|24|24|24,4,191102976,1173.7875|1173.7875|1173.7875|1173.7875,1173.7875,4695.15,4695.15,4029.8620451849806,3776.107602199658,1181.296,4070.74,2896.9525,40.877954815019166,294.632397800342,-294.632397800342,0.006020035669190334
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__blind_v04,32|32|32|32,4,254803968,1545.589|1545.589|1545.589|1545.589,1545.589,6182.356,6182.356,5341.125280800817,5009.775357854759,1574.054,5381.671,3836.0820000000003,40.54571919918362,371.89564214524125,-371.89564214524125,0.0008131303455748602
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__blind_v05,3|6|12|24,4,89579520,200.29|354.847|662.174|1173.7875,1173.7875,2391.0985,2391.0985,2071.184283040085,1811.697586497702,1165.434,1869.571,695.7835,201.6132830400852,57.87341350229781,-57.87341350229781,0.0007996486894586463
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__blind_v06,3|3|12|12,4,59719680,200.29|200.29|662.174|662.174,662.174,1724.9279999999999,1724.9279999999999,1440.2156020441635,1290.9373500951106,603.4775,1268.5485,606.3745000000001,171.66710204416336,22.388850095110456,22.388850095110456,0.01363250991191901
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__blind_v07,6|12|24|32,4,147308544,354.847|662.174|1173.7875|1545.589,1545.589,3736.3975,3736.3975,3261.812157340127,2924.376930175807,1532.608,3051.461,1505.8719999999998,210.35115734012743,127.08406982419274,-127.08406982419274,0.0010801383337358144
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__blind_v08,3|12|12|32,4,117448704,200.29|662.174|662.174|1545.589,1545.589,3070.227,3070.227,2695.499579627803,2356.4069857691043,1549.919,2437.916,892.3270000000002,257.5835796278029,81.5090142308959,-81.5090142308959,0.004180619840880493
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__blind_v09,6|6|6|32,4,99532800,354.847|354.847|354.847|1545.589,1545.589,2610.13,2610.13,2304.3704046377566,1964.1331346879015,1534.441,2098.194,552.605,206.1764046377566,134.06086531209849,-134.06086531209849,0.011957902844065013
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__blind_v00,3|3,2,11943936,204.75|204.75,204.75,409.5,204.75,90.10211600606968,187.6111332840853,179.433,180.03199999999998,24.718000000000018,89.9298839939303,7.579133284085316,7.579133284085316,0.014627955030216683
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__blind_v01,6|6,2,23887872,358.956|358.956,358.956,717.912,358.956,240.68094509548564,333.7916210185783,310.76,322.525,36.43100000000004,81.84405490451434,11.266621018578348,11.266621018578348,0.005449189985272438
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__blind_v02,12|12,2,47775744,664.861|664.861,664.861,1329.722,664.861,539.3905719102515,623.7760710427023,589.108,607.292,57.56899999999996,67.90142808974849,16.484071042702226,16.484071042702226,0.0021505305520244625
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__blind_v03,24|24,2,95551488,1177.449|1177.449,1177.449,2354.898,1177.449,1039.9216851307847,1109.6868906401778,1143.113,1161.994,15.455000000000155,122.07231486921523,52.30710935982211,-52.30710935982211,0.00019621443828439573
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__blind_v04,32|32,2,127401984,1541.579|1541.579,1541.579,3083.158,1541.579,1395.4867671401034,1454.8660730245265,1498.726,1554.45,12.871000000000095,158.9632328598966,99.58392697547356,-99.58392697547356,0.0072353565569816146
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__blind_v05,3|6,2,17915904,204.75|358.956,358.956,563.706,358.956,240.68094509548564,331.7714633183035,308.835,307.82,51.136000000000024,67.13905490451435,23.951463318303524,23.951463318303524,0.0002988759664738631
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__blind_v06,3|12,2,29859840,204.75|664.861,664.861,869.611,664.861,539.3905719102515,617.748440602699,586.396,585.992,78.86900000000003,46.601428089748424,31.756440602699058,31.756440602699058,0.00041468142909790263
