timestamp, index, pstate, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/08/12 04:50:18.380, 6, P0, 0 MiB, 0 %, 242.35 W
2026/08/12 04:50:18.380, 7, P0, 0 MiB, 0 %, 243.17 W
2026/08/12 04:50:19.380, 0, P0, 159037 MiB, 46 %, 289.73 W
2026/08/12 04:50:19.381, 1, P0, 159037 MiB, 20 %, 282.39 W
2026/08/12 04:50:19.381, 2, P0, 0 MiB, 0 %, 236.07 W
2026/08/12 04:50:19.381, 3, P0, 0 MiB, 0 %, 238.65 W
2026/08/12 04:50:19.381, 4, P0, 0 MiB, 0 %, 235.48 W
2026/08/12 04:50:19.381, 5, P0, 0 MiB, 0 %, 244.30 W
2026/08/12 04:50:19.381, 6, P0, 0 MiB, 0 %, 242.32 W
2026/08/12 04:50:19.381, 7, P0, 0 MiB, 0 %, 243.12 W
2026/08/12 04:50:20.381, 0, P0, 159037 MiB, 64 %, 287.52 W
2026/08/12 04:50:20.381, 1, P0, 159037 MiB, 17 %, 282.43 W
2026/08/12 04:50:20.381, 2, P0, 0 MiB, 0 %, 236.02 W
2026/08/12 04:50:20.381, 3, P0, 0 MiB, 0 %, 238.67 W
2026/08/12 04:50:20.381, 4, P0, 0 MiB, 0 %, 235.45 W
2026/08/12 04:50:20.381, 5, P0, 0 MiB, 0 %, 244.38 W
2026/08/12 04:50:20.381, 6, P0, 0 MiB, 0 %, 242.38 W
2026/08/12 04:50:20.381, 7, P0, 0 MiB, 0 %, 243.10 W
