model_id,configuration,topology_level,vector_id,replica_id,measurement_id,repeat_count,concurrent_wave_us,matched_solo_max_us,concurrent_repeat_cv
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v03,1,qwen3-8b__p2d2_matching__l2__r1,5,250.856,251.6375,0.03948445741970555
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v04,0,qwen3-8b__p2d2_matching__l2__r0,5,278.61199999999997,277.62199999999996,0.04657369200928798
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v04,1,qwen3-8b__p2d2_matching__l2__r1,5,274.2625,275.8895,0.03554283683173516
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v05,0,qwen3-8b__p2d2_matching__l2__r0,5,184.0815,184.6925,0.03169655899280381
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v05,1,qwen3-8b__p2d2_matching__l2__r1,5,173.89499999999998,173.19850000000002,0.037133020872324944
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v06,0,qwen3-8b__p2d2_matching__l2__r0,5,227.5975,227.24650000000003,0.03336125747873191
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v06,1,qwen3-8b__p2d2_matching__l2__r1,5,211.684,211.828,0.04116709977197296
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v07,0,qwen3-8b__p2d2_matching__l2__r0,5,251.678,252.583,0.03192240282899778
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v07,1,qwen3-8b__p2d2_matching__l2__r1,5,236.2465,235.798,0.03667187153956533
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v08,0,qwen3-8b__p2d2_matching__l2__r0,5,276.25800000000004,274.8835,0.02503545822299767
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v08,1,qwen3-8b__p2d2_matching__l2__r1,5,259.318,259.5715,0.0649540650109084
