model_id,topology_level,page_count,payload_bytes,replica_0_us,replica_1_us,official_latency_us,relative_spread,above_threshold
qwen3-30b-a3b,L3,2,196608,119.58500000000001,118.5385,119.58500000000001,0.00875109754567888,False
qwen3-30b-a3b,L3,3,294912,119.4085,119.494,119.494,0.0007155170970927087,False
qwen3-30b-a3b,L3,4,393216,120.945,121.3235,121.3235,0.0031197583320626467,False
qwen3-30b-a3b,L3,6,589824,122.613,123.6965,123.6965,0.008759342422784807,False
qwen3-30b-a3b,L3,8,786432,126.0595,126.012,126.0595,0.0003768061907273901,False
qwen3-30b-a3b,L3,12,1179648,133.16500000000002,133.251,133.251,0.0006453985335943768,False
qwen3-30b-a3b,L3,16,1572864,140.074,140.36950000000002,140.36950000000002,0.0021051581718251047,False
qwen3-30b-a3b,L3,24,2359296,153.725,154.203,154.203,0.0030998099907265657,False
qwen3-30b-a3b,L3,32,3145728,169.0515,168.0975,169.0515,0.0056432507253707164,False
qwen3-30b-a3b,L3,48,4718592,192.323,193.36399999999998,193.36399999999998,0.005383628803706835,False
qwen3-30b-a3b,L3,64,6291456,223.901,223.3365,223.901,0.002521203567648244,False
qwen3-30b-a3b,L3,96,9437184,327.025,326.4655,327.025,0.0017108783732129266,False
qwen3-30b-a3b,L3,128,12582912,390.77750000000003,391.595,391.595,0.0020876160318696493,False
qwen3-30b-a3b,L3,192,18874368,565.8154999999999,562.398,565.8154999999999,0.006039954720222237,False
qwen3-30b-a3b,L3,256,25165824,716.292,717.552,717.552,0.0017559702990166438,False
qwen3-30b-a3b,L3,384,37748736,974.9165,979.4855,979.4855,0.004664693862236817,False
qwen3-30b-a3b,L3,512,50331648,1248.8285,1251.8955,1251.8955,0.002449884994394506,False
qwen3-30b-a3b,L3,768,75497472,1824.815,1825.597,1825.597,0.00042835302643459943,False
qwen3-30b-a3b,L3,1024,100663296,2406.424,2407.071,2407.071,0.0002687914066514592,False
qwen3-30b-a3b,L3,1536,150994944,3666.009,3663.0344999999998,3666.009,0.0008113728035038272,False
qwen3-30b-a3b,L3,2048,201326592,4894.7135,4886.36,4894.7135,0.0017066371708988008,False
qwen3-30b-a3b,L3,3072,301989888,7344.098,7354.108,7354.108,0.0013611440027805164,False
qwen3-30b-a3b,L3,4096,402653184,9843.262,9861.951,9861.951,0.0018950611293848943,False
llama-3.2-3b-instruct,L1,1,114688,57.3795,79.39750000000001,79.39750000000001,0.27731351742813065,True
llama-3.2-3b-instruct,L1,2,229376,57.924499999999995,82.3665,82.3665,0.2967468570353239,True
llama-3.2-3b-instruct,L1,3,344064,59.329499999999996,83.756,83.756,0.2916388079659965,True
llama-3.2-3b-instruct,L1,4,458752,60.74250000000001,84.84649999999999,84.84649999999999,0.284089502808012,True
llama-3.2-3b-instruct,L1,6,688128,65.73949999999999,87.68549999999999,87.68549999999999,0.2502808332050339,True
llama-3.2-3b-instruct,L1,8,917504,70.0465,91.549,91.549,0.2348742203628659,False
