parallelism,placement_id,topology,curve_kind,phase,slice_type,slice_value,cases,cost_mape,cost_wape,signed_bias,evidence_set
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,decode,policy,mb4,216,0.09152777037934108,0.05808674397616234,0.012964312036756858,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,prefill,model,deepseek-v2-lite,108,0.026565305457632422,0.014932037902393206,-0.011255196146603525,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,prefill,model,llama-3.2-3b-instruct,108,0.018823536217486093,0.010222586641800854,-0.00755911842838852,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,prefill,model,mixtral-8x7b-instruct-v0.1,108,0.014587390994652883,0.007771433598727895,-0.005662727608108199,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,prefill,model,qwen2.5-14b-instruct,108,0.011910593704786764,0.006270785109214489,-0.004512549482330021,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,prefill,model,qwen3-30b-a3b,108,0.02656530768973449,0.014932039533671233,-0.011255197671171916,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,prefill,model,qwen3-8b,108,0.014587389658148438,0.007771432699148429,-0.005662727654637943,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,prefill,overall,all,648,0.018839920620406847,0.009263015088133392,-0.006830297108389642,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,prefill,policy,mb1,216,0.00099211716071072,0.001011089788567901,-0.0009117262139473146,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,prefill,policy,mb16,216,0.028705995076448842,0.01316946801289546,-0.010600105343034301,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,prefill,policy,mb4,216,0.026821649624060993,0.013862212593718016,-0.009185313383378855,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,total,model,deepseek-v2-lite,108,0.0739214523920486,0.036822491731439304,0.010005584570431792,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,total,model,llama-3.2-3b-instruct,108,0.06132388370112985,0.03382407699369802,0.00980875940965313,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,total,model,mixtral-8x7b-instruct-v0.1,108,0.05288985441484381,0.0312771060503003,0.009470572299154344,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,total,model,qwen2.5-14b-instruct,108,0.04682175520860193,0.029108919992033022,0.009091511752052236,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,total,model,qwen3-30b-a3b,108,0.07392144808981763,0.03682248808587378,0.010005584857152102,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,total,model,qwen3-8b,108,0.05288985112394462,0.031277103150090725,0.009470573200331416,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,total,overall,all,648,0.060294707488397735,0.03292605983466998,0.009612475421739227,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,total,policy,mb1,216,0.02722824776280744,0.01999354241278749,0.0008863882974579881,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,total,policy,mb16,216,0.10679997348467019,0.08336118227296316,0.05387996407254246,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,total,policy,mb4,216,0.04685590121771558,0.034985695911178206,0.004668224951750582,phase34_open_target_repeated_engineering
tp,tp_l1_single_node_b200_nvlink_measured,L1_single_node_B200_NVLink,physical_measurement_backend_aware,decode,model,deepseek-v2-lite,108,0.09038593903088596,0.07720590381260639,-0.023016432533577765,phase34_open_target_repeated_engineering
tp,tp_l1_single_node_b200_nvlink_measured,L1_single_node_B200_NVLink,physical_measurement_backend_aware,decode,model,llama-3.2-3b-instruct,108,0.09270781656450484,0.07829858040942987,-0.024917668237829104,phase34_open_target_repeated_engineering
tp,tp_l1_single_node_b200_nvlink_measured,L1_single_node_B200_NVLink,physical_measurement_backend_aware,decode,model,mixtral-8x7b-instruct-v0.1,108,0.09031704426036556,0.07621164227004434,-0.02270452454599019,phase34_open_target_repeated_engineering
tp,tp_l1_single_node_b200_nvlink_measured,L1_single_node_B200_NVLink,physical_measurement_backend_aware,decode,model,qwen2.5-14b-instruct,108,0.0858563089255323,0.07332588879020241,-0.022098463359438495,phase34_open_target_repeated_engineering
tp,tp_l1_single_node_b200_nvlink_measured,L1_single_node_B200_NVLink,physical_measurement_backend_aware,decode,model,qwen3-30b-a3b,108,0.09141504394546877,0.07781431842277796,-0.0220959790045592,phase34_open_target_repeated_engineering
tp,tp_l1_single_node_b200_nvlink_measured,L1_single_node_B200_NVLink,physical_measurement_backend_aware,decode,model,qwen3-8b,108,0.09000288240121537,0.0761324466839105,-0.022453946389742366,phase34_open_target_repeated_engineering
