round,candidate_id,kind,bin,target_sum,predicted_sum,signed_bias,relative_signed_bias
0,p58_r0_ridge_0,logical_bytes,0,0.0,37713607.83194779,37713607.83194779,3.771360783194779e+19
0,p58_r0_ridge_0,logical_bytes,1,0.0,37713607.83194779,37713607.83194779,3.771360783194779e+19
0,p58_r0_ridge_0,logical_bytes,2,217142753.13857418,170828634.0051349,-46314119.13343927,-0.2132888086938962
0,p58_r0_ridge_0,logical_bytes,3,1680304948.9872465,1336361110.5975053,-343943838.3897412,-0.20469132022555966
0,p58_r0_ridge_0,logical_bytes,4,29688525019.17854,17136172460.208645,-12552352558.969894,-0.422801488146049
0,p58_r0_ridge_0,logical_bytes,5,1086554615181.949,1288126093306.1184,201571478124.16943,0.18551435455493903
0,p58_r0_ridge_0,logical_bytes,6,19359287150266.773,14427280169719.191,-4932006980547.582,-0.25476180720216335
0,p58_r0_ridge_0,logical_bytes,7,108272547556364.53,110853683879698.16,2581136323333.625,0.02383924994458948
0,p58_r0_ridge_0,logical_bytes,8,162453449513508.2,170992683548621.8,8539234035113.625,0.05256419029996392
0,p58_r0_ridge_0,logical_bytes,9,118285301917077.61,110365939550938.53,-7919362366139.078,-0.06695136452110377
0,p58_r0_ridge_0,logical_bytes,10,3794547254511.1694,2680146627150.6006,-1114400627360.5688,-0.2936847409228353
0,p58_r0_ridge_0,logical_bytes,11,0.0,37713607.83194779,37713607.83194779,3.771360783194779e+19
0,p58_r0_ridge_1,calls,0,0.0,0.6283402438562105,0.6283402438562105,628340243856.2104
0,p58_r0_ridge_1,calls,1,0.0,0.6283402438562105,0.6283402438562105,628340243856.2104
0,p58_r0_ridge_1,calls,2,1767.1122488490737,1018.6505430818574,-748.4617057672162,-0.42355074288839994
0,p58_r0_ridge_1,calls,3,5031.999230663869,3614.144944751303,-1417.854285912566,-0.28176758797427504
0,p58_r0_ridge_1,calls,4,24606.282118418683,14540.489572763103,-10065.79254565558,-0.409074093242269
0,p58_r0_ridge_1,calls,5,310558.6082667991,352557.1947132407,41998.58644644159,0.13523562164588543
0,p58_r0_ridge_1,calls,6,1551119.6880495693,1301602.8680959176,-249516.81995365163,-0.16086238984394724
0,p58_r0_ridge_1,calls,7,2904284.948131066,3088082.782395212,183797.83426414616,0.0632850555460895
0,p58_r0_ridge_1,calls,8,1391137.5597245158,1411597.8704440296,20460.3107195138,0.014707611462640342
0,p58_r0_ridge_1,calls,9,345451.4823159769,318034.46136662737,-27417.020949349506,-0.07936576437750456
0,p58_r0_ridge_1,calls,10,4737.760266255596,3703.508271070572,-1034.2519951850245,-0.21829977395678296
0,p58_r0_ridge_1,calls,11,0.0,0.6283402438562105,0.6283402438562105,628340243856.2104
0,p58_r0_ridge_1,logical_bytes,0,0.0,39558561.814260945,39558561.814260945,3.955856181426095e+19
0,p58_r0_ridge_1,logical_bytes,1,0.0,39558561.814260945,39558561.814260945,3.955856181426095e+19
0,p58_r0_ridge_1,logical_bytes,2,217142753.13857418,169903105.54747635,-47239647.59109783,-0.21755111284303771
0,p58_r0_ridge_1,logical_bytes,3,1680304948.9872465,1295483133.5868711,-384821815.40037537,-0.22901903349883912
0,p58_r0_ridge_1,logical_bytes,4,29688525019.17854,16402224896.869421,-13286300122.309118,-0.4475230788234269
