model_id,configuration,topology_level,pair_id,page_count0,page_count1,payload_bytes0,payload_bytes1,phase51_flow0_us,phase51_flow1_us,phase51_max_us,frozen_corrected_us,matched_solo_ideal_us,actual_concurrent_wave_us,phase51_absolute_error_us,corrected_absolute_error_us,matched_solo_absolute_error_us,phase51_signed_error_us,corrected_signed_error_us,cross_replica_relative_spread
qwen3-8b,P1D2,L2,qwen3-8b__res_04__p512_p512,512,512,75497472,75497472,1818.7745,1818.7745,1818.7745,3212.3052171639956,1856.752,3313.86,1495.0855000000001,101.5547828360045,1457.1080000000002,-1495.0855000000001,-101.5547828360045,0.0003687542624010089
qwen3-8b,P1D2,L2,qwen3-8b__res_05__p2048_p2048,2048,2048,301989888,301989888,7314.78,7314.78,7314.78,13251.198727580242,7328.189,13284.71,5969.929999999999,33.511272419757006,5956.520999999999,-5969.929999999999,-33.511272419757006,0.007364857795164391
qwen3-8b,P1D2,L2,qwen3-8b__res_06__p2_p32,2,32,294912,4718592,93.51849999999999,173.9895,173.9895,139.5653742341439,146.514,152.7835,21.20599999999999,13.218125765856115,6.269499999999994,21.20599999999999,-13.218125765856115,0.005785965107488796
qwen3-8b,P1D2,L2,qwen3-8b__res_07__p8_p128,8,128,1179648,18874368,107.497,551.343,551.343,519.9260630280679,480.7635,487.22249999999997,64.12049999999999,32.70356302806795,6.458999999999946,64.12049999999999,32.70356302806795,0.0004228047760519279
qwen3-8b,P1D2,L2,qwen3-8b__res_08__p32_p512,32,512,4718592,75497472,173.9895,1818.7745,1818.7745,1814.0709315981162,1798.4479999999999,1804.0515,14.722999999999956,10.01943159811617,5.603500000000167,14.722999999999956,10.01943159811617,0.0031127160172534493
qwen3-8b,P1D2,L2,qwen3-8b__res_09__p128_p2048,128,2048,18874368,301989888,551.343,7314.78,7314.78,7501.590419099296,7149.868,7124.263,190.51699999999983,377.3274190992961,25.605000000000473,190.51699999999983,377.3274190992961,0.003148957302671195
qwen3-8b,P1D2,L3,qwen3-8b__res_00__p2_p2,2,2,294912,294912,95.2945,95.2945,95.2945,64.23118642800101,71.759,80.007,15.287499999999994,15.775813571998995,8.248000000000005,15.287499999999994,-15.775813571998995,0.015748621995575272
qwen3-8b,P1D2,L3,qwen3-8b__res_01__p8_p8,8,8,1179648,1179648,109.77250000000001,109.77250000000001,109.77250000000001,90.67641109959322,83.531,92.0775,17.695000000000007,1.4010889004067764,8.546499999999995,17.695000000000007,-1.4010889004067764,0.008063859249002119
qwen3-8b,P1D2,L3,qwen3-8b__res_02__p32_p32,32,32,4718592,4718592,176.4385,176.4385,176.4385,212.44719076227906,154.36450000000002,230.4315,53.992999999999995,17.984309237720936,76.06699999999998,-53.992999999999995,-17.984309237720936,0.003489106307080421
qwen3-8b,P1D2,L3,qwen3-8b__res_03__p128_p128,128,128,18874368,18874368,554.3405,554.3405,554.3405,902.715411085807,500.27700000000004,878.2305,323.89,24.48491108580697,377.95349999999996,-323.89,24.48491108580697,7.23044804297847e-05
qwen3-8b,P1D2,L3,qwen3-8b__res_04__p512_p512,512,512,75497472,75497472,1824.905,1824.905,1824.905,3223.5030656133113,1853.513,3323.582,1498.677,100.07893438668862,1470.069,-1498.677,-100.07893438668862,0.000601760389844451
qwen3-8b,P1D2,L3,qwen3-8b__res_05__p2048_p2048,2048,2048,301989888,301989888,7340.387,7340.387,7340.387,13297.971960634908,7330.511,13276.558,5936.171000000001,21.4139606349072,5946.0470000000005,-5936.171000000001,21.4139606349072,0.005820107892422165
qwen3-8b,P1D2,L3,qwen3-8b__res_06__p2_p32,2,32,294912,4718592,95.2945,176.4385,176.4385,143.46655021171608,146.602,152.317,24.121499999999997,8.850449788283925,5.715000000000003,24.121499999999997,-8.850449788283925,0.006184470544981895
qwen3-8b,P1D2,L3,qwen3-8b__res_07__p8_p128,8,128,1179648,18874368,109.77250000000001,554.3405,554.3405,524.7874631379282,480.115,487.23749999999995,67.10300000000007,37.549963137928216,7.122499999999945,67.10300000000007,37.549963137928216,0.0024710741681417195
