method,phase,policy,segment,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
enhanced_bounded_residual,total,all,all,162,0.2583906339796613,0.11345834078699761,0.03461960321267349,0.01974462227978848,0.36888078414650316,0.18444039207325158,0.028001121594780527,0.06516328857429109,0.04317869063587881
enhanced_bounded_residual,total,all,burstgpt_1,27,0.21380292780664248,0.1316085539579778,0.029283494964924443,0.022911706557226158,0.30441772406321155,0.15220886203160577,0.024306986984763707,0.09688834345217574,0.0884326885480941
enhanced_bounded_residual,total,all,burstgpt_2,27,0.12017004306870895,0.07333105157981121,0.026394447819119787,0.02842406059480425,0.2787861773231581,0.13939308866157904,0.014001698623378134,0.07373848908093106,0.057522352375511336
enhanced_bounded_residual,total,all,burstgpt_3,27,0.2250381349599858,0.12187542765782836,0.09221071388494989,0.03236461021963813,0.34755444781628525,0.17377722390814263,0.022701391304117885,0.12280008130763474,0.09499162198802986
enhanced_bounded_residual,total,all,mooncake_conversation,27,0.29897997286066347,0.1260694119065564,0.011723218731688008,0.011718848838024487,0.483352120049589,0.2416760600247945,0.035537564546872485,0.033809913860858756,0.03187826162115068
enhanced_bounded_residual,total,all,mooncake_synthetic,27,0.19969190302862022,0.09809724269898515,0.031671819550051904,0.0318957835477015,0.2796902406714135,0.13984512033570676,0.018779412236794964,0.03088139609202023,0.0308287469846161
enhanced_bounded_residual,total,all,mooncake_toolagent,27,0.4926608221533464,0.20429037701600428,0.01643392432530686,0.016503727802905446,0.5194839949553617,0.25974199747768084,0.05267967587275599,0.03286150765212598,0.031194428053474787
enhanced_bounded_residual,total,mb1,all,54,0.0659184536005186,0.0655252144707464,0.02805750222291752,0.014777903090287755,0.08778848625496741,0.043894243127483704,0.004880765814937531,0.04401787899454237,0.03602343915838535
enhanced_bounded_residual,total,mb1,burstgpt_1,9,0.07811813271755089,0.09610556412054083,0.023745794840351515,0.018398737061973536,0.018262684670864407,0.009131342335432203,0.0024068545916464917,0.06624315740436165,0.07808786974952621
enhanced_bounded_residual,total,mb1,burstgpt_2,9,0.03763548293504896,0.040338686782264925,0.010289165379752857,0.010600528132897203,0.014603951905740311,0.007301975952870156,0.0008183234683366777,0.033889114131088444,0.03592941388181856
