timestamp, index, memory.used [MiB], utilization.gpu [%]
2026/08/06 10:23:10.540, 1, 159623 MiB, 25 %
2026/08/06 10:23:10.542, 2, 0 MiB, 0 %
2026/08/06 10:23:10.543, 3, 0 MiB, 0 %
2026/08/06 10:23:10.545, 4, 0 MiB, 0 %
2026/08/06 10:23:10.546, 5, 0 MiB, 0 %
2026/08/06 10:23:10.547, 6, 0 MiB, 0 %
2026/08/06 10:23:10.548, 7, 0 MiB, 0 %
2026/08/06 10:23:11.549, 0, 159623 MiB, 27 %
2026/08/06 10:23:11.549, 1, 159623 MiB, 17 %
2026/08/06 10:23:11.549, 2, 0 MiB, 0 %
2026/08/06 10:23:11.549, 3, 0 MiB, 0 %
2026/08/06 10:23:11.549, 4, 0 MiB, 0 %
2026/08/06 10:23:11.549, 5, 0 MiB, 0 %
2026/08/06 10:23:11.549, 6, 0 MiB, 0 %
2026/08/06 10:23:11.549, 7, 0 MiB, 0 %
2026/08/06 10:23:12.549, 0, 159623 MiB, 85 %
2026/08/06 10:23:12.549, 1, 159623 MiB, 19 %
2026/08/06 10:23:12.550, 2, 0 MiB, 0 %
2026/08/06 10:23:12.550, 3, 0 MiB, 0 %
2026/08/06 10:23:12.550, 4, 0 MiB, 0 %
2026/08/06 10:23:12.550, 5, 0 MiB, 0 %
2026/08/06 10:23:12.551, 6, 0 MiB, 0 %
2026/08/06 10:23:12.551, 7, 0 MiB, 0 %
2026/08/06 10:23:13.551, 0, 159623 MiB, 59 %
2026/08/06 10:23:13.551, 1, 159623 MiB, 18 %
2026/08/06 10:23:13.551, 2, 0 MiB, 0 %
2026/08/06 10:23:13.551, 3, 0 MiB, 0 %
2026/08/06 10:23:13.551, 4, 0 MiB, 0 %
2026/08/06 10:23:13.551, 5, 0 MiB, 0 %
2026/08/06 10:23:13.551, 6, 0 MiB, 0 %
2026/08/06 10:23:13.551, 7, 0 MiB, 0 %
2026/08/06 10:23:14.551, 0, 159623 MiB, 63 %
2026/08/06 10:23:14.551, 1, 159623 MiB, 17 %
2026/08/06 10:23:14.551, 2, 0 MiB, 0 %
2026/08/06 10:23:14.551, 3, 0 MiB, 0 %
2026/08/06 10:23:14.551, 4, 0 MiB, 0 %
2026/08/06 10:23:14.551, 5, 0 MiB, 0 %
2026/08/06 10:23:14.551, 6, 0 MiB, 0 %
2026/08/06 10:23:14.551, 7, 0 MiB, 0 %
2026/08/06 10:23:15.551, 0, 159623 MiB, 40 %
2026/08/06 10:23:15.551, 1, 159623 MiB, 34 %
2026/08/06 10:23:15.551, 2, 0 MiB, 0 %
2026/08/06 10:23:15.551, 3, 0 MiB, 0 %
2026/08/06 10:23:15.551, 4, 0 MiB, 0 %
2026/08/06 10:23:15.552, 5, 0 MiB, 0 %
2026/08/06 10:23:15.552, 6, 0 MiB, 0 %
2026/08/06 10:23:15.552, 7, 0 MiB, 0 %
2026/08/06 10:23:16.552, 0, 159623 MiB, 36 %
2026/08/06 10:23:16.552, 1, 159623 MiB, 35 %
2026/08/06 10:23:16.552, 2, 0 MiB, 0 %
2026/08/06 10:23:16.552, 3, 0 MiB, 0 %
2026/08/06 10:23:16.552, 4, 0 MiB, 0 %
2026/08/06 10:23:16.552, 5, 0 MiB, 0 %
2026/08/06 10:23:16.552, 6, 0 MiB, 0 %
2026/08/06 10:23:16.552, 7, 0 MiB, 0 %
2026/08/06 10:23:17.552, 0, 159623 MiB, 45 %
2026/08/06 10:23:17.552, 1, 159623 MiB, 35 %
2026/08/06 10:23:17.552, 2, 0 MiB, 0 %
2026/08/06 10:23:17.552, 3, 0 MiB, 0 %
2026/08/06 10:23:17.552, 4, 0 MiB, 0 %
2026/08/06 10:23:17.552, 5, 0 MiB, 0 %
2026/08/06 10:23:17.552, 6, 0 MiB, 0 %
2026/08/06 10:23:17.552, 7, 0 MiB, 0 %
2026/08/06 10:23:18.552, 0, 159623 MiB, 34 %
2026/08/06 10:23:18.552, 1, 159623 MiB, 55 %
2026/08/06 10:23:18.552, 2, 0 MiB, 0 %
2026/08/06 10:23:18.552, 3, 0 MiB, 0 %
2026/08/06 10:23:18.552, 4, 0 MiB, 0 %
2026/08/06 10:23:18.552, 5, 0 MiB, 0 %
2026/08/06 10:23:18.552, 6, 0 MiB, 0 %
2026/08/06 10:23:18.552, 7, 0 MiB, 0 %
2026/08/06 10:23:19.552, 0, 159623 MiB, 45 %
2026/08/06 10:23:19.552, 1, 159623 MiB, 43 %
2026/08/06 10:23:19.552, 2, 0 MiB, 0 %
2026/08/06 10:23:19.552, 3, 0 MiB, 0 %
2026/08/06 10:23:19.552, 4, 0 MiB, 0 %
2026/08/06 10:23:19.552, 5, 0 MiB, 0 %
2026/08/06 10:23:19.552, 6, 0 MiB, 0 %
2026/08/06 10:23:19.552, 7, 0 MiB, 0 %
2026/08/06 10:23:20.552, 0, 159623 MiB, 19 %
2026/08/06 10:23:20.552, 1, 159623 MiB, 33 %
2026/08/06 10:23:20.552, 2, 0 MiB, 0 %
2026/08/06 10:23:20.552, 3, 0 MiB, 0 %
2026/08/06 10:23:20.552, 4, 0 MiB, 0 %
2026/08/06 10:23:20.552, 5, 0 MiB, 0 %
2026/08/06 10:23:20.552, 6, 0 MiB, 0 %
2026/08/06 10:23:20.552, 7, 0 MiB, 0 %
2026/08/06 10:23:21.553, 0, 159623 MiB, 27 %
2026/08/06 10:23:21.553, 1, 159623 MiB, 18 %
2026/08/06 10:23:21.553, 2, 0 MiB, 0 %
2026/08/06 10:23:21.553, 3, 0 MiB, 0 %
2026/08/06 10:23:21.553, 4, 0 MiB, 0 %
2026/08/06 10:23:21.553, 5, 0 MiB, 0 %
2026/08/06 10:23:21.553, 6, 0 MiB, 0 %
2026/08/06 10:23:21.553, 7, 0 MiB, 0 %
2026/08/06 10:23:22.553, 0, 164615 MiB, 100 %
2026/08/06 10:23:22.553, 1, 164615 MiB, 100 %
2026/08/06 10:23:22.553, 2, 0 MiB, 0 %
2026/08/06 10:23:22.553, 3, 0 MiB, 0 %
2026/08/06 10:23:22.553, 4, 0 MiB, 0 %
2026/08/06 10:23:22.553, 5, 0 MiB, 0 %
2026/08/06 10:23:22.553, 6, 0 MiB, 0 %
2026/08/06 10:23:22.553, 7, 0 MiB, 0 %
2026/08/06 10:23:23.553, 0, 164615 MiB, 100 %
2026/08/06 10:23:23.553, 1, 164615 MiB, 100 %
2026/08/06 10:23:23.553, 2, 0 MiB, 0 %
2026/08/06 10:23:23.553, 3, 0 MiB, 0 %
2026/08/06 10:23:23.553, 4, 0 MiB, 0 %
2026/08/06 10:23:23.553, 5, 0 MiB, 0 %
2026/08/06 10:23:23.553, 6, 0 MiB, 0 %
2026/08/06 10:23:23.553, 7, 0 MiB, 0 %
2026/08/06 10:23:24.553, 0, 164615 MiB, 40 %
2026/08/06 10:23:24.553, 1, 164615 MiB, 21 %
2026/08/06 10:23:24.553, 2, 0 MiB, 0 %
